userName,id,rank,scorePerMinute,killsPerMinute,winPercent,killDeath,quits,accuracy,headshots,secondsPlayed,kills,deaths,wins,loses,avengerKills,saviorKills,headShots,heals,revives,repairs,resupplies,killAssists,skill,longestHeadShot,highestKillStreak
d83ecf814c727cf22bbab17f5b314,1461032841,97,858,0.69,43.68,1.17,30.53,10.51,19.92,559379,6406,5463,159,205,503,528,1276,1173,75,226,264,567,261,348.21,18
828ff954aadd7b2c08f5471b847ac,3243228735,0,71,0.5,0.0,1.0,100.0,8.64,0.0,158,1,1,0,0,0,0,0,0,0,0,0,0,85,0.0,1
27eddc68a38dd1f371d47223bf1a4,2766073241,112,534,0.99,52.53,1.87,14.38,13.35,17.63,1266750,20811,11122,560,506,1690,1499,3669,7812,1413,323,755,1398,263,763.41,34
bec0a442cf7ad69277cea8bb0318e,2829609194,11,280,0.74,47.37,0.74,47.22,11.54,15.29,47112,582,788,9,10,95,98,89,106,224,0,41,71,231,72.75,7
80b2b2e38329afd74db28716732ff,4027979842,128,1089,2.23,61.44,7.84,20.9,11.42,10.25,1185390,43359,5620,400,251,2502,2526,4446,1698,1493,370,115,2224,811,804.11,140
97d0755a6f166f08f26d3cdcb62da,1758215691,25,366,0.5,52.63,0.82,73.49,10.55,11.37,135516,1126,1379,30,27,143,113,128,403,68,1,0,105,162,224.44,211
af328bc59358abf8bfa02d957aaa1,3758558422,140,982,0.89,54.4,1.73,42.23,16.14,14.01,2320730,34522,19909,748,627,2689,1889,4838,42466,10581,6285,5201,2993,296,367.59,71
77e6dba8b8b30055dca30a9714031,1318052613,57,544,0.46,42.11,0.84,31.7,12.5,12.86,357203,2729,3266,88,121,226,164,351,712,143,698,279,197,180,610.28,21
3239c72534f894c8c5d2a2e5c1434,1707325108,89,1182,0.75,53.36,1.11,18.21,9.73,12.26,354851,4461,4034,151,132,378,309,547,686,152,361,222,453,275,332.75,22
7efd4871985646795130ce2bb3abe,3460929626,124,492,1.03,50.15,1.55,33.42,11.46,19.0,2268350,38899,25047,1020,1014,3848,4379,7389,7510,4592,5,4107,4171,388,180.14,34
405aca08ac9c346a8d8243055963b,445818514,10,434,0.44,40.0,0.66,50.0,7.76,23.5,25167,183,277,4,6,24,30,43,119,14,0,139,42,138,62.28,6
5f8aba081e212f68431acfa8bbcfa,3732063277,10,350,0.42,58.33,0.5,42.86,6.66,25.33,32143,225,447,7,5,26,29,57,118,24,5,0,36,144,544.12,4
5e41f94ca589bbeffdfaa8f4a7214,2144831411,70,541,0.91,47.21,1.26,47.77,14.21,18.53,517812,7189,6226,144,161,936,970,1332,6097,420,1,15,985,295,409.98,13
e5eb10808fb30c21e7a25248f6eb0,3031775689,133,492,0.63,47.14,0.9,38.99,9.29,15.13,3178870,33320,37082,866,971,3311,2911,5042,22274,4414,1521,5462,3585,237,251.85,15
13170b5ba50f83e6a0c5e6051d89c,3462909141,7,675,0.55,66.67,1.13,70.0,15.43,21.11,9786,90,80,4,2,5,8,19,45,0,4,0,14,164,181.37,7
f042eecdd32bdbe5f64f2c6365e1d,312045713,10,159,0.13,51.43,0.24,40.68,4.17,14.11,73976,163,676,18,17,19,22,23,185,2,33,90,33,92,49.34,4
e4d4380206da9726edc8d3d27b8ca,1008966631,33,257,0.2,46.63,0.5,36.08,6.3,17.02,302523,1028,2067,76,87,72,74,175,564,47,201,71,151,132,380.45,10
bd537c1001efa6acb4d24aec88a91,55997295,80,1183,0.8,50.85,1.02,19.18,13.83,24.56,296247,3970,3878,90,87,391,401,975,84,55,46,470,448,248,599.74,10
ddc41cc9908a4d6e301fdbe6f4417,1407156842,88,254,0.36,46.23,0.65,46.26,9.01,12.74,1614300,9729,14988,362,421,1075,871,1239,955,530,697,1737,1153,218,460.73,28
144392a0c828ef5c64d6b3007c6ca,1637743802,18,442,0.45,44.44,0.65,21.05,9.02,17.67,67060,498,764,20,25,54,42,88,112,58,37,41,49,192,300.1,7
98317264ae39a303aaa91b51fa466,2922212865,137,340,0.47,44.91,2.16,52.19,13.43,3.32,5214960,40695,18880,658,807,1255,1508,1351,19,0,5755,1,4084,184,638.25,54
1637236591d38e387cf1c2541cb55,4232996062,130,979,1.37,48.31,1.6,28.48,16.34,16.7,1414090,32353,20170,342,366,3638,3512,5402,4191,1599,633,3342,2955,292,273.02,29
3d72e370018cef7b13f1a693a36de,702065547,44,838,0.77,58.33,1.12,38.98,14.39,15.93,149511,1927,1721,42,30,229,227,307,272,99,70,55,223,295,164.55,13
60448f002b942d2d3727a93e002ee,1072706299,12,456,0.76,25.93,0.96,10.0,12.99,23.67,34168,431,451,7,20,48,47,102,134,50,38,0,52,235,172.24,6
c7c10724e860ecbf9e5271d4c2aea,1289473014,35,704,0.74,46.58,1.11,24.74,12.33,21.05,125545,1558,1404,34,39,175,141,328,363,102,106,12,176,282,192.03,8
1fb5b765c17ac4f359797159d07e5,3323413790,19,177,0.24,47.76,0.37,48.46,4.67,10.94,179136,704,1900,32,35,121,136,77,137,171,13,46,189,110,57.46,7
c9b4fdb4911bdb99b506f3b686030,3283819965,37,526,0.71,50.5,1.13,36.08,12.19,24.81,178151,2108,1859,51,50,198,148,523,357,17,6,24,162,171,162.95,16
